GCCSA_CODE_2016,SOLSEWVW_Min_96_00,SOLSEWVW_Min_01_05,SOLSEWVW_Min_06_10,SOLSEWVW_Min_11_15,SOLSEWVW_Min_2016,SOLSEWVW_Min_NS,SOLSEWVW_Min_Tot,SOLSEWVW_Mnf_Bf_91,SOLSEWVW_Mnf_91_95,SOLSEWVW_Mnf_96_00,SOLSEWVW_Mnf_01_05,SOLSEWVW_Mnf_06_10,SOLSEWVW_Mnf_11_15,SOLSEWVW_Mnf_2016,SOLSEWVW_Mnf_NS,SOLSEWVW_Mnf_Tot,SOLSEWVW_EGWWS_Bf_91,SOLSEWVW_EGWWS_91_95,SOLSEWVW_EGWWS_96_00,SOLSEWVW_EGWWS_01_05,SOLSEWVW_EGWWS_06_10,SOLSEWVW_EGWWS_11_15,SOLSEWVW_EGWWS_2016,SOLSEWVW_EGWWS_NS,SOLSEWVW_EGWWS_Tot,SOLSEWVW_Const_Bf_91,SOLSEWVW_Const_91_95,SOLSEWVW_Const_96_00,SOLSEWVW_Const_01_05,SOLSEWVW_Const_06_10,SOLSEWVW_Const_11_15,SOLSEWVW_Const_2016,SOLSEWVW_Const_NS,SOLSEWVW_Const_Tot,SOLSEWVW_WST_Bf_91,SOLSEWVW_WST_91_95,SOLSEWVW_WST_96_00,SOLSEWVW_WST_01_05,SOLSEWVW_WST_06_10,SOLSEWVW_WST_11_15,SOLSEWVW_WST_2016,SOLSEWVW_WST_NS,SOLSEWVW_WST_Tot,SOLSEWVW_RetT_Bf_91,SOLSEWVW_RetT_91_95,SOLSEWVW_RetT_96_00,SOLSEWVW_RetT_01_05,SOLSEWVW_RetT_06_10,SOLSEWVW_RetT_11_15,SOLSEWVW_RetT_2016,SOLSEWVW_RetT_NS,SOLSEWVW_RetT_Tot,SOLSEWVW_AcFd_Bf_91,SOLSEWVW_AcFd_91_95,SOLSEWVW_AcFd_96_00,SOLSEWVW_AcFd_01_05,SOLSEWVW_AcFd_06_10,SOLSEWVW_AcFd_11_15,SOLSEWVW_AcFd_2016,SOLSEWVW_AcFd_NS,SOLSEWVW_AcFd_Tot,SOLSEWVW_TPW_Bf_91,SOLSEWVW_TPW_91_95,SOLSEWVW_TPW_96_00,SOLSEWVW_TPW_01_05,SOLSEWVW_TPW_06_10,SOLSEWVW_TPW_11_15,SOLSEWVW_TPW_2016,SOLSEWVW_TPW_NS,SOLSEWVW_TPW_Tot,SOLSEWVW_IMT_Bf_91,SOLSEWVW_IMT_91_95,SOLSEWVW_IMT_96_00,SOLSEWVW_IMT_01_05,SOLSEWVW_IMT_06_10,SOLSEWVW_IMT_11_15,SOLSEWVW_IMT_2016,SOLSEWVW_IMT_NS,SOLSEWVW_IMT_Tot,SOLSEWVW_FinIns_Bf_91,SOLSEWVW_FinIns_91_95,SOLSEWVW_FinIns_96_00,SOLSEWVW_FinIns_01_05,SOLSEWVW_FinIns_06_10,SOLSEWVW_FinIns_11_15,SOLSEWVW_FinIns_2016,SOLSEWVW_FinIns_NS,SOLSEWVW_FinIns_Tot,SOLSEWVW_RHRE_Bf_91,SOLSEWVW_RHRE_91_95,SOLSEWVW_RHRE_96_00,SOLSEWVW_RHRE_01_05,SOLSEWVW_RHRE_06_10,SOLSEWVW_RHRE_11_15,SOLSEWVW_RHRE_2016,SOLSEWVW_RHRE_NS,SOLSEWVW_RHRE_Tot,SOLSEWVW_ProSTS_Bf_91,SOLSEWVW_ProSTS_91_95,SOLSEWVW_ProSTS_96_00,SOLSEWVW_ProSTS_01_05,SOLSEWVW_ProSTS_06_10,SOLSEWVW_ProSTS_11_15,SOLSEWVW_ProSTS_2016,SOLSEWVW_ProSTS_NS,SOLSEWVW_ProSTS_Tot,SOLSEWVW_AdSup_Bf_91,SOLSEWVW_AdSup_91_95,SOLSEWVW_AdSup_96_00,SOLSEWVW_AdSup_01_05,SOLSEWVW_AdSup_06_10,SOLSEWVW_AdSup_11_15,SOLSEWVW_AdSup_2016,SOLSEWVW_AdSup_NS,SOLSEWVW_AdSup_Tot,SOLSEWVW_PubAS_Bf_91,SOLSEWVW_PubAS_91_95,SOLSEWVW_PubAS_96_00,SOLSEWVW_PubAS_01_05,SOLSEWVW_PubAS_06_10,SOLSEWVW_PubAS_11_15,SOLSEWVW_PubAS_2016,SOLSEWVW_PubAS_NS,SOLSEWVW_PubAS_Tot,SOLSEWVW_EdTrn_Bf_91,SOLSEWVW_EdTrn_91_95,SOLSEWVW_EdTrn_96_00,SOLSEWVW_EdTrn_01_05,SOLSEWVW_EdTrn_06_10,SOLSEWVW_EdTrn_11_15,SOLSEWVW_EdTrn_2016,SOLSEWVW_EdTrn_NS,SOLSEWVW_EdTrn_Tot,SOLSEWVW_HC_SA_Bf_91,SOLSEWVW_HC_SA_91_95,SOLSEWVW_HC_SA_96_00,SOLSEWVW_HC_SA_01_05,SOLSEWVW_HC_SA_06_10,SOLSEWVW_HC_SA_11_15,SOLSEWVW_HC_SA_2016,SOLSEWVW_HC_SA_NS,SOLSEWVW_HC_SA_Tot,SOLSEWVW_ArtsR_Bf_91,SOLSEWVW_ArtsR_91_95,SOLSEWVW_ArtsR_96_00,SOLSEWVW_ArtsR_01_05,SOLSEWVW_ArtsR_06_10,SOLSEWVW_ArtsR_11_15,SOLSEWVW_ArtsR_2016,SOLSEWVW_ArtsR_NS,SOLSEWVW_ArtsR_Tot,SOLSEWVW_OthSvs_Bf_91,SOLSEWVW_OthSvs_91_95,SOLSEWVW_OthSvs_96_00,SOLSEWVW_OthSvs_01_05,SOLSEWVW_OthSvs_06_10,SOLSEWVW_OthSvs_11_15,SOLSEWVW_OthSvs_2016,SOLSEWVW_OthSvs_NS,SOLSEWVW_OthSvs_Tot,SOLSEWVW_IDNS_Bf_91,SOLSEWVW_IDNS_91_95,SOLSEWVW_IDNS_96_00,SOLSEWVW_IDNS_01_05,SOLSEWVW_IDNS_06_10,SOLSEWVW_IDNS_11_15,SOLSEWVW_IDNS_2016,SOLSEWVW_IDNS_NS,SOLSEWVW_IDNS_Tot,SOLSEWVW_Tot_Bf_91,SOLSEWVW_Tot_91_95,SOLSEWVW_Tot_96_00,SOLSEWVW_Tot_01_05,SOLSEWVW_Tot_06_10,SOLSEWVW_Tot_11_15,SOLSEWVW_Tot_2016,SOLSEWVW_Tot_NS,SOLSEWVW_Tot_Tot,SOLSE_NWNA_AGFF_Bf_91,SOLSE_NWNA_AGFF_91_95,SOLSE_NWNA_AGFF_96_00,SOLSE_NWNA_AGFF_01_05,SOLSE_NWNA_AGFF_06_10,SOLSE_NWNA_AGFF_11_15,SOLSE_NWNA_AGFF_2016,SOLSE_NWNA_AGFF_NS,SOLSE_NWNA_AGFF_Tot,SOLSE_NWNA_Min_Bf_91,SOLSE_NWNA_Min_91_95,SOLSE_NWNA_Min_96_00,SOLSE_NWNA_Min_01_05,SOLSE_NWNA_Min_06_10,SOLSE_NWNA_Min_11_15,SOLSE_NWNA_Min_2016,SOLSE_NWNA_Min_NS,SOLSE_NWNA_Min_Tot,SOLSE_NWNA_Mnf_Bf_91,SOLSE_NWNA_Mnf_91_95,SOLSE_NWNA_Mnf_96_00,SOLSE_NWNA_Mnf_01_05
9OTER,0,0,10,6,0,3,59,4,0,0,0,0,0,0,0,10,6,3,0,0,0,0,0,0,11,14,0,0,0,3,3,0,0,21,0,0,0,0,0,0,0,0,4,12,0,3,0,0,3,0,3,26,17,0,0,9,19,20,6,0,78,6,0,0,0,4,0,0,3,17,3,0,0,0,0,3,0,3,9,3,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,5,3,0,4,3,10,0,0,0,19,13,0,0,0,3,0,0,3,19,42,0,7,16,14,4,0,7,93,11,0,0,3,0,0,0,3,22,18,0,0,0,7,0,0,3,30,10,0,0,0,0,0,0,0,11,8,3,0,0,0,3,0,0,13,8,0,3,0,4,3,0,4,18,208,14,26,43,76,52,11,43,477,0,0,0,0,0,0,0,0,5,33,0,0,0,0,0,0,0,37,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,3,3,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,0,0,0,0,0,0,7,127,47,47,41,99,79,4,11,454,33,10,17,26,53,44,0,0,183,323,57,75,125,211,173,7,15,991,75,22,21,35,74,43,3,3,282,387,125,178,337,742,830,37,31,2666,413,102,190,304,1050,1356,131,73,3623,206,51,63,136,310,130,3,9,911,90,42,69,97,106,81,5,0,495,75,42,51,103,156,98,8,8,537,89,25,15,45,76,60,3,0,322,589,315,427,733,845,635,51,33,3623,259,70,79,118,237,496,62,19,1344,2343,1078,1197,1572,1151,506,56,80,7988,494,222,323,454,746,781,49,30,3097,681,300,375,675,1838,1755,75,73,5769,53,26,31,36,58,65,5,9,273,174,64,68,99,256,246,18,10,936,169,61,83,147,268,247,14,56,1052,6606,2654,3316,5093,8289,7650,542,476,34623,0,0,0,0,4,0,0,0,7,0,0,0,0,3,0,0,0,3,20,7,11,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,106,21,20,30,35,21,3,3,242,0,0,3,0,3,0,0,0,15,3,0,0,3,4,11,0,0,16,0,0,0,3,3,4,0,0,12,22,9,6,5,36,15,0,0,103,5,0,0,0,3,0,0,0,14,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,16,4,10,5,5,12,7,3,55,25,6,10,22,26,19,9,0,117,5,7,0,13,7,3,0,0,29,5,8,10,13,15,11,0,0,52,9,11,9,4,8,17,0,0,55,0,0,0,0,0,0,0,0,3,3,3,3,0,3,10,0,0,19,15,0,0,3,4,5,0,3,27,222,71,65,103,145,143,15,13,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7RNTE,9,22,55,22,0,0,136,0,0,0,3,15,12,0,0,32,8,0,3,7,11,3,0,0,29,27,5,3,9,30,33,0,5,112,3,3,0,0,4,4,3,0,21,19,9,3,24,95,115,5,3,278,29,16,14,40,132,225,43,27,522,13,8,8,13,55,32,0,0,125,3,0,0,0,7,0,0,0,18,0,0,0,3,6,9,0,0,23,3,3,3,4,7,6,0,0,25,7,8,3,13,23,24,0,0,79,17,7,3,17,25,28,5,15,114,45,21,16,55,120,88,3,10,362,35,4,17,31,75,47,3,11,232,62,23,42,107,370,258,14,17,895,3,3,3,4,17,17,0,3,48,12,3,4,7,28,23,3,4,89,20,4,11,18,34,24,6,16,133,345,116,151,376,1109,1001,112,117,3312,9,12,3,3,9,6,0,5,41,0,0,0,0,0,0,0,0,7,0,0,0,0
7GDAR,7,12,40,62,7,8,155,39,14,15,25,96,127,10,12,342,37,14,8,18,43,35,6,4,174,229,49,70,74,262,312,16,23,1033,35,11,3,17,63,76,6,9,221,136,30,30,74,372,402,18,19,1080,193,44,50,64,500,844,157,57,1914,75,29,18,40,172,128,7,14,488,10,3,3,4,28,31,3,0,86,25,10,7,4,29,23,0,3,100,30,11,13,8,35,50,3,5,152,116,22,29,80,219,214,18,16,720,75,24,21,29,107,176,30,17,476,243,70,80,124,318,188,5,17,1044,120,49,60,78,216,156,20,9,719,216,77,84,152,722,628,33,38,1954,46,11,12,21,88,94,9,11,293,67,24,17,35,108,107,12,3,372,82,21,21,52,142,191,29,29,554,1842,530,554,925,3575,3855,392,302,11970,25,14,3,3,5,16,0,3,74,0,0,0,0,3,6,0,0,4,0,0,3,6
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,41,3,9,10,27,26,0,3,116,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,10,0,0,3,0,0,6,0,0,9,3,0,3,3,9,9,0,0,32,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,5,5,0,0,26,3,5,8,3,12,17,0,0,44,8,0,0,0,8,4,0,0,21,0,0,0,3,3,0,0,0,7,3,0,0,4,7,9,0,0,21,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,9,5,0,0,0,4,7,3,3,27,79,13,24,40,85,87,13,9,345,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6RTAS,0,3,12,10,0,0,35,52,23,15,43,66,64,0,9,267,7,0,3,6,3,6,0,0,23,18,0,8,8,9,7,0,0,55,11,0,0,3,13,9,0,3,40,43,3,17,30,44,42,4,3,182,61,22,24,53,86,144,23,6,413,22,7,3,7,27,22,0,0,80,8,0,0,0,3,7,0,0,15,6,0,0,0,7,3,0,0,16,4,0,0,3,4,4,0,0,18,23,3,7,18,29,31,0,3,114,10,6,7,5,15,22,3,0,75,34,8,15,9,32,5,5,0,106,31,21,10,37,41,42,8,7,196,96,39,61,113,245,177,18,10,754,5,0,0,3,4,9,0,0,23,15,4,6,11,19,6,0,0,61,12,8,6,8,30,29,3,6,106,490,147,197,384,746,781,74,58,2872,3,0,0,5,15,90,3,19,135,0,0,0,0,0,0,0,0,0,0,0,4,0
6GHOB,0,0,0,0,0,0,0,49,20,6,19,49,25,0,3,174,15,8,6,17,27,11,0,0,89,27,9,10,15,27,7,0,0,101,17,0,6,0,9,12,0,0,46,82,33,25,53,108,118,8,8,431,88,29,35,91,268,419,36,20,984,14,4,6,29,63,59,0,3,185,5,3,3,6,16,20,5,0,59,13,4,9,22,16,13,0,0,78,16,3,4,4,7,10,0,0,36,56,18,37,56,82,107,5,0,368,23,8,7,25,58,70,3,3,198,97,23,24,52,59,31,0,6,290,90,34,29,59,93,126,11,6,441,162,70,80,143,315,219,10,13,1014,16,8,5,9,32,23,0,0,97,31,13,9,10,42,25,4,0,141,25,14,9,22,53,49,5,10,182,839,307,319,641,1333,1376,96,75,4982,0,0,0,0,0,15,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,3,4,9,3,0,0,26,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,9,7,0,0,4,3,0,0,0,8,3,0,3,3,10,8,0,3,35,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,14,0,0,24,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,10,11,3,4,4,6,6,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,10,48,6,13,22,45,44,7,11,200,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,209,407,1113,587,7,36,2857,100,38,57,133,425,522,38,37,1350,23,4,6,25,97,44,3,4,219,235,63,91,208,495,344,7,17,1461,14,4,10,18,114,114,6,8,294,103,31,62,96,404,436,36,35,1204,158,66,83,151,759,884,79,75,2251,98,30,42,71,218,183,6,16,668,9,0,4,8,21,31,3,5,75,17,3,6,12,24,30,0,0,89,19,3,11,13,51,66,0,0,162,83,22,44,95,248,224,10,11,737,71,25,40,51,151,241,28,21,632,105,34,38,80,207,120,3,16,603,126,42,70,133,235,139,0,18,772,197,64,122,263,901,744,26,31,2357,18,4,6,11,19,26,0,0,78,46,13,29,49,181,144,3,10,471,113,34,54,95,275,256,22,53,903,2089,634,1028,1976,6131,5461,377,478,18181,59,10,11,16,31,120,60,79,385,7,0,6,5,14,29,4,0,63,5,0,3,10
