GCCSA_CODE_2016,M_M1_Train_15_24,M_M1_Train_25_34,M_M1_Train_35_44,M_M1_Train_45_54,M_M1_Train_55_64,M_M1_Train_65_74,M_M1_Train_75ov,M_M1_Train_Tot,M_M1_Bus_15_24,M_M1_Bus_25_34,M_M1_Bus_35_44,M_M1_Bus_45_54,M_M1_Bus_55_64,M_M1_Bus_65_74,M_M1_Bus_75ov,M_M1_Bus_Tot,M_M1_Ferry_15_24,M_M1_Ferry_25_34,M_M1_Ferry_35_44,M_M1_Ferry_45_54,M_M1_Ferry_55_64,M_M1_Ferry_65_74,M_M1_Ferry_75ov,M_M1_Ferry_Tot,M_M1_Tram_Inc_LR_15_24,M_M1_Tram_Inc_LR_25_34,M_M1_Tram_Inc_LR_35_44,M_M1_Tram_Inc_LR_45_54,M_M1_Tram_Inc_LR_55_64,M_M1_Tram_Inc_LR_65_74,M_M1_Tram_Inc_LR_75ov,M_M1_Tram_Inc_LR_Tot,M_M1_Taxi_15_24,M_M1_Taxi_25_34,M_M1_Taxi_35_44,M_M1_Taxi_45_54,M_M1_Taxi_55_64,M_M1_Taxi_65_74,M_M1_Taxi_75ov,M_M1_Taxi_Tot,M_M1_CarAsDriv_15_24,M_M1_CarAsDriv_25_34,M_M1_CarAsDriv_35_44,M_M1_CarAsDriv_45_54,M_M1_CarAsDriv_55_64,M_M1_CarAsDriv_65_74,M_M1_CarAsDriv_75ov,M_M1_CarAsDriv_Tot,M_M1_CarAsPas_15_24,M_M1_CarAsPas_25_34,M_M1_CarAsPas_35_44,M_M1_CarAsPas_45_54,M_M1_CarAsPas_55_64,M_M1_CarAsPas_65_74,M_M1_CarAsPas_75ov,M_M1_CarAsPas_Tot,M_M1_Truck_15_24,M_M1_Truck_25_34,M_M1_Truck_35_44,M_M1_Truck_45_54,M_M1_Truck_55_64,M_M1_Truck_65_74,M_M1_Truck_75ov,M_M1_Truck_Tot,M_M1_MBikeScoot_15_24,M_M1_MBikeScoot_25_34,M_M1_MBikeScoot_35_44,M_M1_MBikeScoot_45_54,M_M1_MBikeScoot_55_64,M_M1_MBikeScoot_65_74,M_M1_MBikeScoot_75ov,M_M1_MBikeScoot_Tot,M_M1_Bicycle_15_24,M_M1_Bicycle_25_34,M_M1_Bicycle_35_44,M_M1_Bicycle_45_54,M_M1_Bicycle_55_64,M_M1_Bicycle_65_74,M_M1_Bicycle_75ov,M_M1_Bicycle_Tot,M_M1_Other_15_24,M_M1_Other_25_34,M_M1_Other_35_44,M_M1_Other_45_54,M_M1_Other_55_64,M_M1_Other_65_74,M_M1_Other_75ov,M_M1_Other_Tot,M_M1_WlkOnly_15_24,M_M1_WlkOnly_25_34,M_M1_WlkOnly_35_44,M_M1_WlkOnly_45_54,M_M1_WlkOnly_55_64,M_M1_WlkOnly_65_74,M_M1_WlkOnly_75ov,M_M1_WlkOnly_Tot,M_M1_Tot_M1_15_24,M_M1_Tot_M1_25_34,M_M1_Tot_M1_35_44,M_M1_Tot_M1_45_54,M_M1_Tot_M1_55_64,M_M1_Tot_M1_65_74,M_M1_Tot_M1_75ov,M_M1_Tot_M1_Tot,M_M2_TrnBus_15_24,M_M2_TrnBus_25_34,M_M2_TrnBus_35_44,M_M2_TrnBus_45_54,M_M2_TrnBus_55_64,M_M2_TrnBus_65_74,M_M2_TrnBus_75ov,M_M2_TrnBus_Tot,M_M2_TrnFer_15_24,M_M2_TrnFer_25_34,M_M2_TrnFer_35_44,M_M2_TrnFer_45_54,M_M2_TrnFer_55_64,M_M2_TrnFer_65_74,M_M2_TrnFer_75ov,M_M2_TrnFer_Tot,M_M2_TrnTrm_Inc_LR_15_24,M_M2_TrnTrm_Inc_LR_25_34,M_M2_TrnTrm_Inc_LR_35_44,M_M2_TrnTrm_Inc_LR_45_54,M_M2_TrnTrm_Inc_LR_55_64,M_M2_TrnTrm_Inc_LR_65_74,M_M2_TrnTrm_Inc_LR_75ov,M_M2_TrnTrm_Inc_LR_Tot,M_M2_TrnCarAsDriv_15_24,M_M2_TrnCarAsDriv_25_34,M_M2_TrnCarAsDriv_35_44,M_M2_TrnCarAsDriv_45_54,M_M2_TrnCarAsDriv_55_64,M_M2_TrnCarAsDriv_65_74,M_M2_TrnCarAsDriv_75ov,M_M2_TrnCarAsDriv_Tot,M_M2_TrnCarAsPas_15_24,M_M2_TrnCarAsPas_25_34,M_M2_TrnCarAsPas_35_44,M_M2_TrnCarAsPas_45_54,M_M2_TrnCarAsPas_55_64,M_M2_TrnCarAsPas_65_74,M_M2_TrnCarAsPas_75ov,M_M2_TrnCarAsPas_Tot,M_M2_TrnOth_15_24,M_M2_TrnOth_25_34,M_M2_TrnOth_35_44,M_M2_TrnOth_45_54,M_M2_TrnOth_55_64,M_M2_TrnOth_65_74,M_M2_TrnOth_75ov,M_M2_TrnOth_Tot,M_M2_Train_and_Tot_15_24,M_M2_Train_and_Tot_25_34,M_M2_Train_and_Tot_35_44,M_M2_Train_and_Tot_45_54,M_M2_Train_and_Tot_55_64,M_M2_Train_and_Tot_65_74,M_M2_Train_and_Tot_75ov,M_M2_Train_and_Tot_Tot,M_M2_BusFer_15_24,M_M2_BusFer_25_34,M_M2_BusFer_35_44,M_M2_BusFer_45_54,M_M2_BusFer_55_64,M_M2_BusFer_65_74,M_M2_BusFer_75ov,M_M2_BusFer_Tot,M_M2_BusTrm_Inc_LR_15_24,M_M2_BusTrm_Inc_LR_25_34,M_M2_BusTrm_Inc_LR_35_44,M_M2_BusTrm_Inc_LR_45_54,M_M2_BusTrm_Inc_LR_55_64,M_M2_BusTrm_Inc_LR_65_74,M_M2_BusTrm_Inc_LR_75ov,M_M2_BusTrm_Inc_LR_Tot,M_M2_BusCarAsDriv_15_24,M_M2_BusCarAsDriv_25_34,M_M2_BusCarAsDriv_35_44,M_M2_BusCarAsDriv_45_54,M_M2_BusCarAsDriv_55_64,M_M2_BusCarAsDriv_65_74,M_M2_BusCarAsDriv_75ov,M_M2_BusCarAsDriv_Tot,M_M2_BusCarAsPas_15_24,M_M2_BusCarAsPas_25_34,M_M2_BusCarAsPas_35_44,M_M2_BusCarAsPas_45_54,M_M2_BusCarAsPas_55_64,M_M2_BusCarAsPas_65_74,M_M2_BusCarAsPas_75ov,M_M2_BusCarAsPas_Tot,M_M2_BusOth_15_24,M_M2_BusOth_25_34,M_M2_BusOth_35_44,M_M2_BusOth_45_54,M_M2_BusOth_55_64,M_M2_BusOth_65_74,M_M2_BusOth_75ov,M_M2_BusOth_Tot
9OTER,0,0,0,0,0,0,0,7,3,9,4,9,6,0,0,41,3,4,8,3,3,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,67,126,181,199,185,86,11,846,6,20,10,14,3,0,0,63,0,3,12,19,20,6,0,61,9,5,12,6,3,4,0,41,0,4,3,4,3,0,0,18,7,14,9,14,10,3,0,58,21,38,16,18,15,3,3,122,119,224,263,299,252,105,14,1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,13,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,10,0,0,3,0,0,0,0,4,0,11,13,10,3,3,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,5,26,24,21,10,3,0,90,959,1814,1437,1080,697,121,10,6116,0,10,6,8,3,0,0,27,3,4,5,3,3,0,0,20,16,57,49,51,18,3,0,200,8234,17968,18541,16554,9596,2143,176,73215,1485,1116,751,595,353,79,8,4388,35,131,153,188,135,88,7,735,185,457,483,556,251,18,3,1960,376,935,1084,953,441,48,3,3833,154,155,143,131,87,40,9,722,1393,1706,830,614,454,89,13,5098,12843,24370,23508,20758,12048,2633,227,96396,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,9,13,6,0,0,54,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,5,7,17,12,24,11,0,0,76,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,53,107,129,84,60,15,3,439,98,58,55,38,15,0,0,265,25,57,32,31,14,3,0,156
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,3,0,0,0,0,3,17,10,9,5,10,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,3,0,26,627,1067,848,680,475,107,14,3814,78,58,33,27,12,4,0,211,12,48,74,75,61,25,0,286,3,5,5,3,3,3,0,26,3,9,7,4,4,0,0,31,4,15,14,28,14,0,0,84,19,20,19,14,6,4,0,78,764,1250,1017,827,584,144,14,4603,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
7RNTE,0,3,0,3,0,0,0,11,37,213,227,205,120,30,0,825,6,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,4,15,13,12,7,0,0,44,810,1973,1854,1949,1522,400,29,8538,336,364,248,200,126,29,0,1309,15,44,28,39,32,13,0,172,31,62,48,65,45,4,0,253,96,191,133,117,83,16,0,632,89,170,145,133,89,18,4,642,465,791,573,534,438,112,16,2934,1892,3819,3273,3266,2455,623,56,15373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,7,9,0,0,34,4,3,8,0,0,0,0,18,0,20,8,7,3,0,0,45
7GDAR,0,4,3,4,0,0,0,14,302,1284,1133,980,554,77,6,4339,0,0,8,3,4,0,0,18,0,0,0,0,0,0,0,3,15,27,22,11,12,3,0,89,2840,6316,5780,4995,3268,757,68,24025,618,563,337,271,153,32,6,1985,7,59,73,83,55,10,0,291,121,219,171,200,141,13,0,865,117,272,218,203,119,13,0,940,50,152,133,129,58,16,0,550,385,481,216,234,173,50,4,1542,4464,9381,8090,7119,4542,981,82,34658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,6,0,0,19,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,31,319,210,113,49,5,3,734,16,31,14,9,7,0,0,80,9,53,39,21,10,0,0,130
79799,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,11,15,5,0,0,54,0,0,0,0,3,0,0,3,4,16,12,17,15,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,0,0,0,0,0,0,16,144,96,49,30,0,0,337,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,12,165,376,344,304,190,47,3,1438,46,57,39,36,7,3,0,188,0,16,34,33,28,9,0,117,3,5,3,4,3,0,0,17,0,7,0,0,3,0,0,12,9,39,17,31,22,4,0,116,9,22,12,18,15,0,0,76,244,664,549,485,299,69,10,2315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,11,8,3,0,0,58,0,0,3,3,0,0,0,5,0,8,0,4,0,0,0,12
6RTAS,4,15,6,4,0,0,0,28,127,61,54,72,43,10,3,365,0,3,0,9,3,0,0,18,0,0,0,3,3,3,0,11,22,23,16,20,17,7,0,107,4406,7061,7745,9296,7241,1463,180,37388,1042,480,343,303,204,39,3,2414,24,89,134,193,195,65,23,721,155,92,75,108,67,10,4,509,46,75,101,107,46,12,0,380,39,64,82,91,119,45,15,457,392,442,384,489,532,196,44,2482,6254,8395,8934,10681,8483,1850,271,44871,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,15,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,3,8,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,13,5,0,0,29,4,9,0,0,5,0,0,20,3,9,0,0,3,0,0,13
6GHOB,3,0,0,4,0,0,0,10,438,421,307,292,246,46,8,1762,5,0,3,0,0,0,0,13,0,0,0,0,0,0,0,3,26,46,35,29,30,7,0,172,3288,6889,7465,8068,6003,1255,130,33098,945,560,324,265,221,30,4,2353,20,58,100,148,125,48,3,506,166,127,101,131,65,6,0,599,72,190,253,242,96,9,0,864,23,40,45,76,75,20,4,289,500,681,481,499,388,70,15,2637,5491,9021,9119,9754,7247,1504,166,42298,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,24,29,16,5,0,105,34,19,16,16,4,0,0,91,4,10,7,0,0,0,0,20
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,8,0,0,28,0,3,3,0,0,0,0,3,0,9,12,13,14,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,5,0,0,0,0,0,5,14,8,7,7,6,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,7,0,28,500,1060,965,1163,859,148,13,4712,135,79,53,44,29,6,0,348,14,63,87,109,100,21,3,401,12,8,0,0,4,0,0,25,0,7,5,6,0,0,0,15,11,29,27,37,43,13,0,167,14,18,13,13,12,3,0,77,710,1277,1163,1389,1067,203,21,5825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0
5RWAU,19,26,15,9,12,0,0,75,820,4767,4478,3919,2013,196,5,16199,6,23,7,11,0,0,0,46,0,3,0,0,0,0,0,8,27,55,57,51,43,7,0,243,7462,15894,16957,17734,12933,3205,420,74603,2264,2142,1632,1368,762,110,20,8295,114,353,390,482,404,143,40,1917,249,158,192,223,166,32,13,1032,318,311,294,314,221,38,0,1502,325,1750,1601,1468,798,182,34,6158,869,1395,1305,1567,1455,534,95,7223,12473,26881,26932,27142,18803,4446,627,117303,13,13,9,3,6,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,5,3,0,3,0,26,3,3,0,0,0,0,0,8,0,5,7,3,3,0,0,17,21,27,19,8,10,3,0,87,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,18,84,69,52,37,3,3,258,20,31,11,4,6,3,0,85,15,92,74,56,24,4,0,271
